Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.01804,0.01893,0.01782,0.01878,222714.5,1546343999999,4131.545992,407,143967.2,2671.917552,0
1546344000000,0.01882,0.019180000000000003,0.01878,0.01898,288821.8,1546387199999,5481.428040999999,484,139346.3,2647.831028,0
1546387200000,0.01899,0.01938,0.01888,0.01938,192505.1,1546430399999,3689.568352,361,109986.0,2105.190873,0
1546430400000,0.01938,0.01965,0.01922,0.01929,309338.7,1546473599999,5997.479747,469,181414.6,3518.517249,0
1546473600000,0.01928,0.01946,0.01906,0.01945,100082.3,1546516799999,1925.739888,251,40294.4,777.617037,0
1546516800000,0.01948,0.01948,0.0186,0.019180000000000003,224583.6,1546559999999,4290.105042,336,63892.7,1226.619354,0
1546560000000,0.019180000000000003,0.01933,0.01888,0.01897,252021.1,1546603199999,4797.291292,292,35138.1,670.761712,0
1546603200000,0.01888,0.01917,0.01853,0.01892,317384.7,1546646399999,5982.807643,426,104534.3,1965.983861,0
1546646400000,0.01892,0.01902,0.01857,0.01867,138932.7,1546689599999,2600.461259,284,60375.2,1132.862947,0
1546689600000,0.01865,0.01892,0.0186,0.01871,125549.8,1546732799999,2355.838103,268,83711.5,1573.147154,0
1546732800000,0.01871,0.0188,0.01855,0.01855,150602.0,1546775999999,2812.729972,384,56687.2,1058.167667,0
1546776000000,0.01859,0.01925,0.01845,0.01898,407220.5,1546819199999,7632.765125,695,249288.7,4657.444786,0
1546819200000,0.01897,0.02,0.01895,0.0197,414323.7,1546862399999,8078.634784000002,604,229964.8,4489.225767,0
1546862400000,0.01963,0.01999,0.01923,0.01972,300722.5,1546905599999,5928.736107,608,125953.5,2489.346936,0
1546905600000,0.01973,0.01973,0.01813,0.0188,448931.1,1546948799999,8429.846584,691,236803.2,4443.44204,0
1546948800000,0.01877,0.01877,0.01812,0.01866,298903.6,1546991999999,5516.857935,598,63763.6,1174.765656,0
1546992000000,0.01862,0.01879,0.01775,0.01818,774238.6,1547035199999,14252.323261,812,517898.3,9560.621638,0
1547035200000,0.01815,0.01914,0.01811,0.01873,338230.7,1547078399999,6303.1632770000015,610,161349.4,3011.769592,0
1547078400000,0.01878,0.01977,0.018330000000000003,0.01854,555795.5,1547121599999,10561.511235,1022,225897.9,4297.134343,0
1547121600000,0.01855,0.018580000000000003,0.017759999999999998,0.01817,221548.1,1547164799999,4047.722455,620,116224.3,2126.27605,0
1547164800000,0.01815,0.01828,0.0163,0.01743,321906.3,1547207999999,5667.019609,645,165598.0,2942.767281,0
1547208000000,0.01743,0.0179,0.01718,0.017419999999999998,294311.6,1547251199999,5134.7407520000015,539,55777.8,978.356329,0
1547251200000,0.01754,0.01789,0.017269999999999997,0.01765,291187.3,1547294399999,5146.242007,508,173086.3,3064.80444,0
1547294400000,0.01769,0.01792,0.0175,0.01785,86042.4,1547337599999,1522.00854,255,50094.7,885.9971009999998,0
1547337600000,0.01786,0.01889,0.01781,0.01854,384577.0,1547380799999,7111.841061,736,224311.9,4142.925222,0
1547380800000,0.01861,0.01877,0.01797,0.01851,287486.3,1547423999999,5280.939577,696,105792.0,1950.075022,0
1547424000000,0.01849,0.01889,0.0181,0.0181,217146.4,1547467199999,4014.377332,646,148874.4,2762.390674,0
1547467200000,0.01809,0.01836,0.01768,0.017740000000000002,180128.6,1547510399999,3256.920575,469,77307.1,1398.994732,0
1547510400000,0.01772,0.01817,0.01772,0.01804,76962.6,1547553599999,1385.2581289999996,217,37166.9,669.369671,0
1547553600000,0.018009999999999998,0.01818,0.0177,0.01788,193491.2,1547596799999,3477.049284,417,114536.8,2060.017332,0
1547596800000,0.01795,0.01797,0.01711,0.017730000000000003,125558.8,1547639999999,2191.317677,367,71478.1,1247.718648,0
1547640000000,0.017759999999999998,0.01797,0.0173,0.01731,100708.4,1547683199999,1781.17452,284,45940.5,813.636573,0
1547683200000,0.0174,0.01755,0.01683,0.01729,203266.0,1547726399999,3516.994221,344,146616.5,2538.7635210000008,0
1547726400000,0.0173,0.0176,0.01693,0.01693,283448.8,1547769599999,4932.729033,532,124806.8,2175.44534,0
1547769600000,0.01697,0.01721,0.01621,0.01654,324875.4,1547812799999,5420.713173,489,123211.5,2045.739489,0
1547812800000,0.01653,0.016730000000000002,0.01624,0.0163,249171.9,1547855999999,4099.18952,351,124827.1,2057.008757,0
1547856000000,0.01636,0.01699,0.01636,0.016819999999999998,325997.8,1547899199999,5509.338858,377,89657.6,1513.7981109999996,0
1547899200000,0.01684,0.017,0.01598,0.016280000000000003,561192.0,1547942399999,9191.799359,733,156617.0,2573.144257,0
1547942400000,0.01626,0.01636,0.01599,0.0162,267362.5,1547985599999,4320.576395,408,165118.1,2670.569658,0
1547985600000,0.01618,0.0166,0.01581,0.016040000000000002,296084.3,1548028799999,4776.474944,472,181842.3,2938.294609,0
1548028800000,0.016040000000000002,0.01627,0.01576,0.015880000000000002,222755.1,1548071999999,3551.108093,377,161254.4,2571.043317,0
1548072000000,0.015880000000000002,0.016030000000000003,0.01565,0.01566,162644.8,1548115199999,2578.773524,241,94061.6,1493.670445,0
1548115200000,0.015719999999999998,0.01636,0.01564,0.0157,180120.5,1548158399999,2842.196179,296,88269.3,1394.624238,0
1548158400000,0.01576,0.01598,0.01566,0.015780000000000002,124145.0,1548201599999,1967.040645,253,72499.4,1149.092328,0
1548201600000,0.01576,0.01591,0.01566,0.01586,187230.0,1548244799999,2953.188764,210,104934.1,1657.8300390000004,0
1548244800000,0.01586,0.01586,0.0154,0.01552,319993.6,1548287999999,5016.831279,416,149430.2,2347.214577,0
1548288000000,0.01553,0.015619999999999997,0.01545,0.01557,219296.9,1548331199999,3402.738932,198,77998.5,1211.353092,0
1548331200000,0.01559,0.01573,0.01556,0.01573,198010.3,1548374399999,3094.182364,229,131155.1,2049.939842,0
1548374400000,0.01565,0.01565,0.01488,0.0152,389747.31,1548417599999,5901.85835,427,285517.1,4304.528711999998,0
1548417600000,0.01519,0.01523,0.01471,0.01492,237672.1,1548460799999,3555.7583919,344,144300.5,2160.982658,0
1548460800000,0.01489,0.0155,0.01485,0.01485,707020.3,1548503999999,10772.924947,550,298072.9,4512.510533,0
1548504000000,0.01481,0.01499,0.0139,0.01412,661872.01,1548547199999,9496.1124197,899,354730.3,5105.424585,0
1548547200000,0.01412,0.01445,0.01356,0.01389,669751.1,1548590399999,9385.826086,673,407372.2,5706.369879,0
1548590400000,0.01382,0.013919999999999998,0.01321,0.01338,970031.0,1548633599999,13226.986255,877,460838.4,6290.390504,0
1548633600000,0.01341,0.01377,0.01278,0.01278,1025582.15,1548676799999,13484.064357,873,766190.7,10070.787053,0
1548676800000,0.01279,0.01446,0.01231,0.01401,1575501.6,1548719999999,21283.249533,1436,1033515.8,13878.563756,0
1548720000000,0.01398,0.01402,0.01336,0.01361,654379.2,1548763199999,8851.501893,560,222152.5,3005.444004,0
1548763200000,0.01357,0.01366,0.01332,0.0134,824827.6,1548806399999,11140.932502,768,530481.1,7164.796015999998,0
1548806400000,0.0134,0.01365,0.01329,0.013619999999999998,637106.4,1548849599999,8595.240868,431,279645.2,3781.398143,0
1548849600000,0.01361,0.014430000000000004,0.01359,0.01389,1155558.1,1548892799999,16179.291155,1056,529316.0,7420.134567,0
1548892800000,0.01389,0.01426,0.0135,0.01351,1524760.4,1548935999999,21405.600925,1034,707908.7,9913.586649,0
1548936000000,0.01351,0.01356,0.01297,0.01302,838091.4,1548979199999,11190.731644,691,397871.9,5303.858,0
1548979200000,0.01306,0.01322,0.01217,0.01243,672970.0,1549022399999,8434.652375,821,352616.1,4419.1893,0
1549022400000,0.01244,0.01285,0.01229,0.01241,613615.0,1549065599999,7674.173565000001,472,296016.6,3705.57228,0
1549065600000,0.0124,0.01254,0.01205,0.01223,845747.8,1549108799999,10456.137624,485,215254.0,2651.489676,0
1549108800000,0.01223,0.01231,0.01191,0.0121,408082.8,1549151999999,4938.305168,418,181698.9,2199.491332,0
1549152000000,0.01209,0.01211,0.01183,0.01185,275632.3,1549195199999,3297.111254,288,124092.4,1483.342981,0
1549195200000,0.01185,0.01218,0.01183,0.01184,292837.5,1549238399999,3494.860441,373,143264.1,1714.846307,0
1549238400000,0.01181,0.01194,0.01141,0.01149,356050.3,1549281599999,4162.344243,473,185324.3,2171.307038,0
1549281600000,0.01146,0.01146,0.01104,0.01105,1095039.9,1549324799999,12198.153697,715,637147.7,7091.762824,0
1549324800000,0.01108,0.01115,0.01089,0.01091,1039991.7,1549367999999,11462.971076,838,687148.4,7587.697739,0
1549368000000,0.01091,0.01102,0.00967,0.00981,1324813.55,1549411199999,13577.365674,1309,564685.1,5796.644624000001,0
1549411200000,0.00981,0.01012,0.00869,0.00912,1114315.2,1549454399999,10369.0691,1337,592820.3,5552.322262,0
1549454400000,0.00912,0.00944,0.0088,0.00918,1370441.1,1549497599999,12480.297718000002,1109,729724.0,6643.052675,0
